gstreamer-vaapi 1.24.6-1
gtest 1.15.2-1
gtk-doc 1.34.0-1
gtk-engine-murrine 0.98.2-4
gtk-engines 2.21.0-5
gtk-update-icon-cache 1:4.14.4-2
gtk2 2.24.33-4
gtk3 1:3.24.43-1
gtk4 1:4.14.4-2
gtkmm3 3.24.9-1
gtksourceview3 1:3.24.11+r28+g73e57b57-2
gtksourceview4 4.8.4-1
gts 0.7.6.121130-2
guile 3.0.10-1
gum 0.14.3-1
gupnp 1:1.6.6-1
gupnp-igd 1.6.0-1
gwenview 24.05.2-1
gzip 1.13-4
hardinfo2 2.1.11-1
harfbuzz 9.0.0-1
harfbuzz-icu 9.0.0-1
hddtemp 0.3.beta15.53-4
hicolor-icon-theme 0.18-1
hidapi 0.14.0-3
highway 1.2.0-1
http-parser 2.9.4-2
hunspell 1.7.2-2
hw-probe 1.6.5-2
hwdata 0.385-1
hwinfo 23.2-2
hwloc 2.11.1-1
hyphen 2.8.8-6
i2c-tools 4.3-6
iana-etc 20240612-1
icu 75.1-1
ijs 0.35-6
imath 3.1.11-2
inetutils 2.5-1
intel-gmmlib 22.3.20-1
intel-media-driver 24.2.5-1
intel-ucode 20240531-1
intltool 0.51.0-6
inxi 3.3.35.1-1
iproute2 6.10.0-2
iptables 1:1.8.10-2
iputils 20240117-1
iso-codes 4.16.0-1
jansson 2.14-4
jasper 4.2.4-1
jbig2dec 0.20-1
jbigkit 2.1-8
jq 1.7.1-2
json-c 0.17-2
json-glib 1.8.0-2
jsoncpp 1.9.5-3
kaccounts-integration 24.05.2-1
kaccounts-providers 24.05.2-1
kactivitymanagerd 6.1.4-1
kamera 24.05.2-1
kapidox 6.4.0-1
karchive 6.4.0-1
karchive5 5.116.0-1
kate 24.05.2-1
kauth 6.4.0-1
kauth5 5.116.0-1
kbd 2.6.4-1
kbookmarks 6.4.0-1
kbookmarks5 5.116.0-1
kcalc 24.05.2-1
kcalendarcore 6.4.0-2
kcharselect 24.05.2-1
kcmutils 6.4.0-1
kcodecs 6.4.0-1
kcodecs5 5.116.0-1
kcolorchooser 24.05.2-1
kcolorpicker 0.3.1-4
kcolorscheme 6.4.0-1
kcompletion 6.4.0-1
kcompletion5 5.116.0-1
kconfig 6.4.0-1
kconfig5 5.116.0-1
kconfigwidgets 6.4.0-1
kconfigwidgets5 5.116.0-1
kcontacts 1:6.4.0-1
kcoreaddons 6.4.0-1
kcoreaddons5 5.116.0-1
kcrash 6.4.0-1
kcrash5 5.116.0-1
kcron 24.05.2-1
kdav 1:6.4.0-1
kdbusaddons 6.4.0-1
kdbusaddons5 5.116.0-1
kde-cli-tools 6.1.4-1
kde-gtk-config 6.1.4-1
kde-wallpapers 1.0-1
kdebugsettings 24.05.2-1
kdeclarative 6.4.0-1
kdeconnect 24.05.2-2
kdecoration 6.1.4-1
kded 6.4.0-1
kded5 5.116.0-1
kdegraphics-mobipocket 24.05.2-1
kdegraphics-thumbnailers 24.05.2-1
kdenetwork-filesharing 24.05.2-1
kdeplasma-addons 6.1.4-1
kdesu 6.4.0-1
kdf 24.05.2-1
kdialog 24.05.2-1
kdnssd 6.4.0-1
kdoctools 6.4.0-1
kdsoap-qt6 2.2.0-1
kdsoap-ws-discovery-client 0.4.0-1
keditbookmarks 24.05.2-1
keysmith 24.05.2-1
keyutils 1.6.3-3
kfilemetadata 6.4.0-1
kfind 24.05.2-1
kget 24.05.2-1
kglobalaccel 6.4.0-1
kglobalaccel5 5.116.0-1
kglobalacceld 6.1.4-1
kgpg 24.05.2-1
kguiaddons 6.4.0-1
kguiaddons5 5.116.0-1
khelpcenter 24.05.2-1
kholidays 1:6.4.0-1
ki18n 6.4.0-1
ki18n5 5.116.0-1
kiconthemes 6.4.0-1
kiconthemes5 5.116.0-1
kidentitymanagement 24.05.2-1
kidletime 6.4.0-1
kimageannotator 0.7.1-3
kimageformats 6.4.0-2
kimagemapeditor 24.05.2-1
kimap 24.05.2-1
kinfocenter 6.1.4-1
kio 6.4.1-1
kio-admin 24.05.2-1
kio-extras 24.05.2-1
kio-fuse 5.1.0-3
kio-gdrive 24.05.2-1
kio-zeroconf 24.05.2-1
kio5 5.116.0-1
kirigami 6.4.0-2
kirigami-addons 1.4.0-1
kitemmodels 6.4.0-1
kitemviews 6.4.0-1
kitemviews5 5.116.0-1
kjobwidgets 6.4.0-1
kjobwidgets5 5.116.0-1
kldap 24.05.2-1
kmailtransport 24.05.2-1
kmbox 24.05.2-1
kmenuedit 6.1.4-1
kmime 24.05.2-1
kmod 32-1
knewstuff 6.4.0-1
knotifications 6.4.0-1
knotifications5 5.116.0-1
knotifyconfig 6.4.0-1
kolourpaint 24.05.2-1
konsole 24.05.2-1
kpackage 6.4.0-1
kparts 6.4.0-1
kparts5 5.116.0-1
kpeople 6.4.0-1
kpimtextedit 24.05.2-1
kpipewire 6.1.4-1
kplotting 6.4.0-1
